bin_index,lo,hi,D_upper_ball,D_upper_float,proved,nodes,ambiguous_cells,positive_cells,negative_cells,speed_roots,rhs_adjusted,M2
0,-1.0,-0.9875,[1.443896838896854957793287753117153468703080884 +/- 4.62e-46],1.443896838896855,True,1203,44,349,229,20,16,[1588.33224894235174713841683818 +/- 2.09e-27]
1,-0.9875,-0.975,[1.488771418615306357388424421030287522393639788 +/- 2.51e-46],1.4887714186153063,True,1143,40,333,219,20,15,[1320.54377562593366343501804216 +/- 3.32e-27]
2,-0.975,-0.9625,[1.529361813601161036344121887701449228897586803 +/- 1.75e-46],1.529361813601161,True,963,40,286,176,20,14,[1269.38663972981680737627639647 +/- 3.65e-28]
3,-0.9625,-0.95,[1.571117269794520603922355268922317013123051986 +/- 1.94e-46],1.5711172697945206,True,535,28,149,105,14,14,[584.819275974003548974410525825 +/- 2.95e-28]
4,-0.95,-0.9375,[1.6112734420207687220562885071321190300676767635 +/- 8.83e-47],1.6112734420207688,True,623,28,189,109,14,12,[442.019131065730983720982702921 +/- 5.10e-29]
5,-0.9375,-0.925,[1.6497238813803975669290080456969110100826095602 +/- 7.60e-47],1.6497238813803976,True,729,44,162,173,14,12,[612.096136144421328650134511123 +/- 2.08e-28]
6,-0.925,-0.9125,[1.6865925986428230203446750895263484761953641482 +/- 7.72e-47],1.686592598642823,True,1041,59,313,161,12,10,[906.493778915664921623627572194 +/- 3.87e-28]
7,-0.9125,-0.9,[1.725371111839743145318411091452769613090174347 +/- 4.22e-46],1.7253711118397432,True,1091,73,334,155,16,12,[777.026211597437450216613162226 +/- 1.15e-28]
8,-0.9,-0.8875,[1.766273067213346346935659684202507337569363223 +/- 5.23e-46],1.7662730672133464,True,993,62,308,140,14,11,[780.075874641981234614010507261 +/- 2.91e-28]
9,-0.8875,-0.875,[1.8093978940984030608217340313434762921784998422 +/- 8.24e-47],1.809397894098403,True,1013,88,285,148,14,12,[217.927507238687698715892564674 +/- 1.25e-28]
10,-0.875,-0.8625,[1.847062238885743470794257416901231911678217857 +/- 7.96e-46],1.8470622388857434,True,1095,186,274,104,16,12,[476.462872347299058972310509611 +/- 4.77e-28]
11,-0.8625,-0.85,[1.876665460453797527995782225494091742178519998 +/- 1.65e-46],1.8766654604537976,True,501,28,122,115,14,12,[316.580868518304434026710163807 +/- 6.0e-31]
12,-0.85,-0.8375,[1.906345598420339419202788682904394244106714602 +/- 3.40e-46],1.9063455984203395,True,846,87,186,166,16,12,[357.067071932061603965896911957 +/- 2.73e-28]
13,-0.8375,-0.825,[1.936252450854507752985832091949370604111603397 +/- 6.90e-46],1.9362524508545078,True,845,99,181,159,16,12,[417.371086881607245843184459733 +/- 3.49e-28]
14,-0.825,-0.8125,[1.966527899411370985536255376763328380725022472 +/- 6.87e-46],1.966527899411371,True,649,37,194,110,16,12,[273.222230020717055235105041347 +/- 3.63e-28]
15,-0.8125,-0.8,[1.996544507589275049674599763706506270351026557 +/- 9.01e-46],1.9965445075892752,True,1451,55,427,264,20,14,[1012.13333126476184937298113245 +/- 3.06e-28]
16,-0.8,-0.7875,[2.005659231657246553400904579372807158482950791 +/- 6.53e-46],2.0056592316572464,True,1555,50,249,504,25,22,[165.991659694012422699040688260 +/- 1.73e-29]
17,-0.7875,-0.775,[2.012179435052033574594340158596560503347559785 +/- 5.47e-46],2.0121794350520337,True,1389,50,226,444,25,22,[181.574872532474812967263177574 +/- 3.48e-28]
18,-0.775,-0.7625,[2.018832242098660215491780338407533384989267159 +/- 4.64e-46],2.0188322420986604,True,1359,50,224,431,25,23,[187.477195651354179776228641852 +/- 4.38e-29]
